Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1850,-0.4177114,-0.58925647,-0.2461663
1851,-0.2333498,-0.41186792,-0.054831687
1852,-0.22939907,-0.40938243,-0.04941572
1853,-0.27035445,-0.43000934,-0.110699534
1854,-0.29152083,-0.4327115,-0.15033019
1855,-0.29691675,-0.43931878,-0.15451474
1856,-0.32035372,-0.46809322,-0.1726142
1857,-0.46723005,-0.61632216,-0.31813794
1858,-0.3887657,-0.53688604,-0.24064532
1859,-0.28126517,-0.42392084,-0.1386095
1860,-0.39016518,-0.5389766,-0.24135375
1861,-0.42911294,-0.597001,-0.26122484
1862,-0.5363694,-0.70365995,-0.3690788
1863,-0.34424406,-0.53403676,-0.15445141
1864,-0.46546507,-0.64809304,-0.28283712
1865,-0.33248132,-0.5244569,-0.14050578
1866,-0.3412875,-0.5218009,-0.16077414
1867,-0.35699412,-0.5530232,-0.16096504
1868,-0.35182714,-0.5294787,-0.1741756
1869,-0.31659195,-0.47646335,-0.15672056
1870,-0.32792753,-0.46869946,-0.18715557
1871,-0.36856276,-0.51413316,-0.22299235
1872,-0.32811058,-0.46317002,-0.19305114
1873,-0.3412969,-0.47250164,-0.21009217
1874,-0.3732512,-0.5071426,-0.2393598
1875,-0.37562594,-0.514041,-0.23721085
1876,-0.4241099,-0.56287116,-0.28534868
1877,-0.10110884,-0.22982001,0.02760234
1878,-0.011315192,-0.13121258,0.1085822
1879,-0.30363432,-0.43406436,-0.1732043
1880,-0.31583205,-0.44015092,-0.19151321
1881,-0.23224552,-0.35793498,-0.10655606
1882,-0.29553008,-0.4201501,-0.17091006
1883,-0.3464744,-0.4608177,-0.23213112
1884,-0.49232006,-0.6026686,-0.38197154
1885,-0.47112358,-0.5830682,-0.35917896
1886,-0.42090362,-0.5225382,-0.31926903
1887,-0.49878576,-0.61655986,-0.38101166
1888,-0.37937889,-0.49332377,-0.265434
1889,-0.24989556,-0.37222093,-0.12757017
1890,-0.50685817,-0.6324095,-0.3813068
1891,-0.40131494,-0.5373699,-0.26525998
1892,-0.5075585,-0.64432853,-0.3707885
1893,-0.49461922,-0.6315314,-0.35770702
1894,-0.48376393,-0.6255681,-0.34195974
1895,-0.4487516,-0.58202064,-0.3154826
1896,-0.28400728,-0.41740146,-0.15061307
1897,-0.25980017,-0.39852425,-0.12107606
1898,-0.48579213,-0.6176492,-0.35393503
1899,-0.35543364,-0.48639694,-0.22447036
1900,-0.2344939,-0.3664699,-0.1025179
1901,-0.29341024,-0.42826617,-0.15855433
1902,-0.43895653,-0.57330817,-0.3046049
1903,-0.5332871,-0.65805364,-0.40852055
1904,-0.59751105,-0.72495615,-0.47006598
1905,-0.40779322,-0.53042954,-0.2851569
1906,-0.31910878,-0.4449256,-0.19329198
1907,-0.5040763,-0.61996025,-0.38819233
1908,-0.5138197,-0.6301149,-0.39752448
1909,-0.53568715,-0.64385575,-0.42751858
1910,-0.5309095,-0.6454714,-0.4163476
1911,-0.539079,-0.6510565,-0.42710155
1912,-0.47553864,-0.5783255,-0.37275177
1913,-0.4670111,-0.5772189,-0.3568033
1914,-0.26243657,-0.37001243,-0.15486072
1915,-0.19167219,-0.30920455,-0.07413985
1916,-0.42002314,-0.5453339,-0.2947124
1917,-0.5428197,-0.67724293,-0.40839645
1918,-0.4243641,-0.56627965,-0.28244856
1919,-0.32528907,-0.46366385,-0.18691428
1920,-0.29835507,-0.4310807,-0.16562946
1921,-0.24044435,-0.36450884,-0.11637985
1922,-0.3390137,-0.449683,-0.22834438
1923,-0.31768188,-0.4260641,-0.20929964
1924,-0.3118017,-0.4204113,-0.2031921
1925,-0.28214198,-0.39495143,-0.16933253
1926,-0.122555,-0.23084709,-0.014262918
1927,-0.2291136,-0.33219776,-0.12602946
1928,-0.20646581,-0.31743687,-0.09549474
1929,-0.39244303,-0.50286,-0.28202602
1930,-0.17680542,-0.29041144,-0.06319938
1931,-0.103397675,-0.2126916,0.0058962516
1932,-0.14546171,-0.25195518,-0.03896824
1933,-0.32234442,-0.4271004,-0.21758842
1934,-0.17433685,-0.27400395,-0.07466974
1935,-0.20605923,-0.30349734,-0.10862113
